dist_thr	perc_thr	alpha_mod	alpha_thr	filt_pix_num	spar_pix_num	mean_dist_filt	mean_dist_spar	median_dist_filt	median_dist_spar	experiment	resolution	init_pix_num	mean_dist_init	median_dist_init	intra_pix_num	mean_intra_init	median_intra_init
10000000	0	min	optimal	40373948	1378712	2331705.4324238985	780648.4603020791	1220000.0	650000.0	IMR90_set1_bio1_tec5_4DNFIAAUZ7EP_10kb	10000	97050661	346687711.17334276	19100000.0	65712670	16030739.453137424	4440000.0
10000000	0	min	0.05	40373948	8520	2331705.4324238985	621923.7089201878	1220000.0	590000.0	IMR90_set1_bio1_tec5_4DNFIAAUZ7EP_10kb	10000	97050661	346687711.17334276	19100000.0	65712670	16030739.453137424	4440000.0
100000000	0	min	optimal	63963158	1941717	13246216.214652816	946624.5956542586	4150000.0	630000.0	IMR90_set1_bio1_tec5_4DNFIAAUZ7EP_10kb	10000	97050661	346687711.17334276	19100000.0	65712670	16030739.453137424	4440000.0
100000000	0	min	0.05	63963158	17438	13246216.214652816	1050705.356118821	4150000.0	590000.0	IMR90_set1_bio1_tec5_4DNFIAAUZ7EP_10kb	10000	97050661	346687711.17334276	19100000.0	65712670	16030739.453137424	4440000.0
25000000	0	min	optimal	51783206	1597953	5483250.665476371	864298.19275035	2150000.0	640000.0	IMR90_set1_bio1_tec5_4DNFIAAUZ7EP_10kb	10000	97050661	346687711.17334276	19100000.0	65712670	16030739.453137424	4440000.0
25000000	0	min	0.05	51783206	12918	5483250.665476371	1009102.0281777364	2150000.0	590000.0	IMR90_set1_bio1_tec5_4DNFIAAUZ7EP_10kb	10000	97050661	346687711.17334276	19100000.0	65712670	16030739.453137424	4440000.0
5000000	0	min	optimal	33638293	1231720	1341014.1822594863	752015.6204332153	880000.0	650000.0	IMR90_set1_bio1_tec5_4DNFIAAUZ7EP_10kb	10000	97050661	346687711.17334276	19100000.0	65712670	16030739.453137424	4440000.0
5000000	0	min	0.05	33638293	6315	1341014.1822594863	638725.2573238321	880000.0	590000.0	IMR90_set1_bio1_tec5_4DNFIAAUZ7EP_10kb	10000	97050661	346687711.17334276	19100000.0	65712670	16030739.453137424	4440000.0
50000000	0	min	optimal	59863472	1814058	9494399.594630929	928841.3159887942	3310000.0	630000.0	IMR90_set1_bio1_tec5_4DNFIAAUZ7EP_10kb	10000	97050661	346687711.17334276	19100000.0	65712670	16030739.453137424	4440000.0
50000000	0	min	0.05	59863472	15870	9494399.594630929	1016492.7536231884	3310000.0	590000.0	IMR90_set1_bio1_tec5_4DNFIAAUZ7EP_10kb	10000	97050661	346687711.17334276	19100000.0	65712670	16030739.453137424	4440000.0
10000000	0	max	optimal	40373948	1646729	2331705.4324238985	757340.2848920496	1220000.0	630000.0	IMR90_set1_bio1_tec5_4DNFIAAUZ7EP_10kb	10000	97050661	346687711.17334276	19100000.0	65712670	16030739.453137424	4440000.0
10000000	0	max	0.05	40373948	3410	2331705.4324238985	573199.413489736	1220000.0	530000.0	IMR90_set1_bio1_tec5_4DNFIAAUZ7EP_10kb	10000	97050661	346687711.17334276	19100000.0	65712670	16030739.453137424	4440000.0
100000000	0	max	optimal	63963158	2254522	13246216.214652816	867816.0426023786	4150000.0	620000.0	IMR90_set1_bio1_tec5_4DNFIAAUZ7EP_10kb	10000	97050661	346687711.17334276	19100000.0	65712670	16030739.453137424	4440000.0
100000000	0	max	0.05	63963158	9311	13246216.214652816	768730.5337772527	4150000.0	560000.0	IMR90_set1_bio1_tec5_4DNFIAAUZ7EP_10kb	10000	97050661	346687711.17334276	19100000.0	65712670	16030739.453137424	4440000.0
25000000	0	max	optimal	51783206	1931167	5483250.665476371	819904.4153094994	2150000.0	630000.0	IMR90_set1_bio1_tec5_4DNFIAAUZ7EP_10kb	10000	97050661	346687711.17334276	19100000.0	65712670	16030739.453137424	4440000.0
25000000	0	max	0.05	51783206	6148	5483250.665476371	716951.8542615485	2150000.0	560000.0	IMR90_set1_bio1_tec5_4DNFIAAUZ7EP_10kb	10000	97050661	346687711.17334276	19100000.0	65712670	16030739.453137424	4440000.0
5000000	0	max	optimal	33638293	1406924	1341014.1822594863	727622.4728556767	880000.0	640000.0	IMR90_set1_bio1_tec5_4DNFIAAUZ7EP_10kb	10000	97050661	346687711.17334276	19100000.0	65712670	16030739.453137424	4440000.0
5000000	0	max	0.05	33638293	2126	1341014.1822594863	592079.0216368767	880000.0	560000.0	IMR90_set1_bio1_tec5_4DNFIAAUZ7EP_10kb	10000	97050661	346687711.17334276	19100000.0	65712670	16030739.453137424	4440000.0
50000000	0	max	optimal	59863472	2179856	9494399.594630929	864540.7494806997	3310000.0	620000.0	IMR90_set1_bio1_tec5_4DNFIAAUZ7EP_10kb	10000	97050661	346687711.17334276	19100000.0	65712670	16030739.453137424	4440000.0
50000000	0	max	0.05	59863472	8201	9494399.594630929	700104.8652603341	3310000.0	560000.0	IMR90_set1_bio1_tec5_4DNFIAAUZ7EP_10kb	10000	97050661	346687711.17334276	19100000.0	65712670	16030739.453137424	4440000.0
