dist_thr	perc_thr	alpha_mod	alpha_thr	filt_pix_num	spar_pix_num	mean_dist_filt	mean_dist_spar	median_dist_filt	median_dist_spar	experiment	resolution	init_pix_num	mean_dist_init	median_dist_init	intra_pix_num	mean_intra_init	median_intra_init
10000000	0	min	optimal	59590271	3026548	1593866.9362654854	313550.8011107043	570000.0	210000.0	IMR90_set1_bio2_tec1_4DNFIPAEWHQC_5kb	5000	117421978	323513704.3343794	8610000.0	81804713	10906067.04041612	1265000.0
10000000	0	min	0.05	59590271	2770	1593866.9362654854	348971.119133574	570000.0	195000.0	IMR90_set1_bio2_tec1_4DNFIPAEWHQC_5kb	5000	117421978	323513704.3343794	8610000.0	81804713	10906067.04041612	1265000.0
100000000	0	min	optimal	80023473	3295490	9002969.344257278	374761.28587857954	1230000.0	205000.0	IMR90_set1_bio2_tec1_4DNFIPAEWHQC_5kb	5000	117421978	323513704.3343794	8610000.0	81804713	10906067.04041612	1265000.0
100000000	0	min	0.05	80023473	5243	9002969.344257278	838199.5041007057	1230000.0	190000.0	IMR90_set1_bio2_tec1_4DNFIPAEWHQC_5kb	5000	117421978	323513704.3343794	8610000.0	81804713	10906067.04041612	1265000.0
25000000	0	min	optimal	70088026	3205005	3834404.9134013276	345943.36826307606	830000.0	205000.0	IMR90_set1_bio2_tec1_4DNFIPAEWHQC_5kb	5000	117421978	323513704.3343794	8610000.0	81804713	10906067.04041612	1265000.0
25000000	0	min	0.05	70088026	4034	3834404.9134013276	837457.8582052554	830000.0	195000.0	IMR90_set1_bio2_tec1_4DNFIPAEWHQC_5kb	5000	117421978	323513704.3343794	8610000.0	81804713	10906067.04041612	1265000.0
5000000	0	min	optimal	53333046	2729719	925722.377548059	300284.39557331725	455000.0	210000.0	IMR90_set1_bio2_tec1_4DNFIPAEWHQC_5kb	5000	117421978	323513704.3343794	8610000.0	81804713	10906067.04041612	1265000.0
5000000	0	min	0.05	53333046	2143	925722.377548059	330461.9692020532	455000.0	195000.0	IMR90_set1_bio2_tec1_4DNFIPAEWHQC_5kb	5000	117421978	323513704.3343794	8610000.0	81804713	10906067.04041612	1265000.0
50000000	0	min	optimal	76867300	3272678	6579431.119084449	369245.04793933284	1080000.0	205000.0	IMR90_set1_bio2_tec1_4DNFIPAEWHQC_5kb	5000	117421978	323513704.3343794	8610000.0	81804713	10906067.04041612	1265000.0
50000000	0	min	0.05	76867300	4838	6579431.119084449	793741.2153782555	1080000.0	190000.0	IMR90_set1_bio2_tec1_4DNFIPAEWHQC_5kb	5000	117421978	323513704.3343794	8610000.0	81804713	10906067.04041612	1265000.0
10000000	0	max	optimal	59590271	2808666	1593866.9362654854	301338.7957129826	570000.0	205000.0	IMR90_set1_bio2_tec1_4DNFIPAEWHQC_5kb	5000	117421978	323513704.3343794	8610000.0	81804713	10906067.04041612	1265000.0
10000000	0	max	0.05	59590271	1025	1593866.9362654854	399229.26829268294	570000.0	195000.0	IMR90_set1_bio2_tec1_4DNFIPAEWHQC_5kb	5000	117421978	323513704.3343794	8610000.0	81804713	10906067.04041612	1265000.0
100000000	0	max	optimal	80023473	3432405	9002969.344257278	422323.35927724146	1230000.0	205000.0	IMR90_set1_bio2_tec1_4DNFIPAEWHQC_5kb	5000	117421978	323513704.3343794	8610000.0	81804713	10906067.04041612	1265000.0
100000000	0	max	0.05	80023473	2450	9002969.344257278	847967.3469387755	1230000.0	190000.0	IMR90_set1_bio2_tec1_4DNFIPAEWHQC_5kb	5000	117421978	323513704.3343794	8610000.0	81804713	10906067.04041612	1265000.0
25000000	0	max	optimal	70088026	3024750	3834404.9134013276	330265.8087445243	830000.0	205000.0	IMR90_set1_bio2_tec1_4DNFIPAEWHQC_5kb	5000	117421978	323513704.3343794	8610000.0	81804713	10906067.04041612	1265000.0
25000000	0	max	0.05	70088026	1713	3834404.9134013276	775464.0980735552	830000.0	195000.0	IMR90_set1_bio2_tec1_4DNFIPAEWHQC_5kb	5000	117421978	323513704.3343794	8610000.0	81804713	10906067.04041612	1265000.0
5000000	0	max	optimal	53333046	2606827	925722.377548059	292713.4539422831	455000.0	205000.0	IMR90_set1_bio2_tec1_4DNFIPAEWHQC_5kb	5000	117421978	323513704.3343794	8610000.0	81804713	10906067.04041612	1265000.0
5000000	0	max	0.05	53333046	696	925722.377548059	382327.5862068966	455000.0	200000.0	IMR90_set1_bio2_tec1_4DNFIPAEWHQC_5kb	5000	117421978	323513704.3343794	8610000.0	81804713	10906067.04041612	1265000.0
50000000	0	max	optimal	76867300	3152790	6579431.119084449	356877.56875656167	1080000.0	205000.0	IMR90_set1_bio2_tec1_4DNFIPAEWHQC_5kb	5000	117421978	323513704.3343794	8610000.0	81804713	10906067.04041612	1265000.0
50000000	0	max	0.05	76867300	2207	6579431.119084449	751352.5147258722	1080000.0	190000.0	IMR90_set1_bio2_tec1_4DNFIPAEWHQC_5kb	5000	117421978	323513704.3343794	8610000.0	81804713	10906067.04041612	1265000.0
