dist_thr	perc_thr	alpha_mod	alpha_thr	filt_pix_num	spar_pix_num	mean_dist_filt	mean_dist_spar	median_dist_filt	median_dist_spar	experiment	resolution	init_pix_num	mean_dist_init	median_dist_init	intra_pix_num	mean_intra_init	median_intra_init
10000000	0	min	optimal	38886954	1309073	2249964.5958384913	770943.0719295257	1120000.0	640000.0	IMR90_set1_bio2_tec2_4DNFIHUVCM35_10kb	10000	97997291	401352712.0703775	23390000.0	61154020	14791908.087644933	3730000.0
10000000	0	min	0.05	38886954	7571	2249964.5958384913	722744.6836613393	1120000.0	600000.0	IMR90_set1_bio2_tec2_4DNFIHUVCM35_10kb	10000	97997291	401352712.0703775	23390000.0	61154020	14791908.087644933	3730000.0
100000000	0	min	optimal	59603882	1748871	12167137.540806487	921248.8056580502	3520000.0	630000.0	IMR90_set1_bio2_tec2_4DNFIHUVCM35_10kb	10000	97997291	401352712.0703775	23390000.0	61154020	14791908.087644933	3730000.0
100000000	0	min	0.05	59603882	14256	12167137.540806487	1314373.5970819304	3520000.0	600000.0	IMR90_set1_bio2_tec2_4DNFIHUVCM35_10kb	10000	97997291	401352712.0703775	23390000.0	61154020	14791908.087644933	3730000.0
25000000	0	min	optimal	49450121	1490409	5308676.325989172	845613.2377085753	1950000.0	640000.0	IMR90_set1_bio2_tec2_4DNFIHUVCM35_10kb	10000	97997291	401352712.0703775	23390000.0	61154020	14791908.087644933	3730000.0
25000000	0	min	0.05	49450121	11122	5308676.325989172	1268132.530120482	1950000.0	600000.0	IMR90_set1_bio2_tec2_4DNFIHUVCM35_10kb	10000	97997291	401352712.0703775	23390000.0	61154020	14791908.087644933	3730000.0
5000000	0	min	optimal	32667713	1149601	1290201.1457000372	740284.0115831493	820000.0	640000.0	IMR90_set1_bio2_tec2_4DNFIHUVCM35_10kb	10000	97997291	401352712.0703775	23390000.0	61154020	14791908.087644933	3730000.0
5000000	0	min	0.05	32667713	5773	1290201.1457000372	731449.8527628616	820000.0	600000.0	IMR90_set1_bio2_tec2_4DNFIHUVCM35_10kb	10000	97997291	401352712.0703775	23390000.0	61154020	14791908.087644933	3730000.0
50000000	0	min	optimal	56354284	1690560	8944350.353027288	915601.445674806	2900000.0	630000.0	IMR90_set1_bio2_tec2_4DNFIHUVCM35_10kb	10000	97997291	401352712.0703775	23390000.0	61154020	14791908.087644933	3730000.0
50000000	0	min	0.05	56354284	13126	8944350.353027288	1237269.5413682768	2900000.0	600000.0	IMR90_set1_bio2_tec2_4DNFIHUVCM35_10kb	10000	97997291	401352712.0703775	23390000.0	61154020	14791908.087644933	3730000.0
10000000	0	max	optimal	38886954	1549527	2249964.5958384913	750936.9117156396	1120000.0	630000.0	IMR90_set1_bio2_tec2_4DNFIHUVCM35_10kb	10000	97997291	401352712.0703775	23390000.0	61154020	14791908.087644933	3730000.0
10000000	0	max	0.05	38886954	2865	2249964.5958384913	783221.6404886562	1120000.0	580000.0	IMR90_set1_bio2_tec2_4DNFIHUVCM35_10kb	10000	97997291	401352712.0703775	23390000.0	61154020	14791908.087644933	3730000.0
100000000	0	max	optimal	59603882	1979222	12167137.540806487	846482.5168677389	3520000.0	620000.0	IMR90_set1_bio2_tec2_4DNFIHUVCM35_10kb	10000	97997291	401352712.0703775	23390000.0	61154020	14791908.087644933	3730000.0
100000000	0	max	0.05	59603882	7039	12167137.540806487	1280230.1463276034	3520000.0	580000.0	IMR90_set1_bio2_tec2_4DNFIHUVCM35_10kb	10000	97997291	401352712.0703775	23390000.0	61154020	14791908.087644933	3730000.0
25000000	0	max	optimal	49450121	1731340	5308676.325989172	805662.8391881433	1950000.0	630000.0	IMR90_set1_bio2_tec2_4DNFIHUVCM35_10kb	10000	97997291	401352712.0703775	23390000.0	61154020	14791908.087644933	3730000.0
25000000	0	max	0.05	49450121	4902	5308676.325989172	1105756.8339453284	1950000.0	580000.0	IMR90_set1_bio2_tec2_4DNFIHUVCM35_10kb	10000	97997291	401352712.0703775	23390000.0	61154020	14791908.087644933	3730000.0
5000000	0	max	optimal	32667713	1371752	1290201.1457000372	726583.5369658655	820000.0	640000.0	IMR90_set1_bio2_tec2_4DNFIHUVCM35_10kb	10000	97997291	401352712.0703775	23390000.0	61154020	14791908.087644933	3730000.0
5000000	0	max	0.05	32667713	1807	1290201.1457000372	797504.1505257332	820000.0	590000.0	IMR90_set1_bio2_tec2_4DNFIHUVCM35_10kb	10000	97997291	401352712.0703775	23390000.0	61154020	14791908.087644933	3730000.0
50000000	0	max	optimal	56354284	1875876	8944350.353027288	832467.663107796	2900000.0	620000.0	IMR90_set1_bio2_tec2_4DNFIHUVCM35_10kb	10000	97997291	401352712.0703775	23390000.0	61154020	14791908.087644933	3730000.0
50000000	0	max	0.05	56354284	6279	8944350.353027288	1098972.7663640708	2900000.0	580000.0	IMR90_set1_bio2_tec2_4DNFIHUVCM35_10kb	10000	97997291	401352712.0703775	23390000.0	61154020	14791908.087644933	3730000.0
